month,day_of_week,op_unique_carrier,origin,dest,crs_dep_time,distance,dep_time_bin,carrier_origin
1,5,0.200784094,0.207460399,0.207186974,805,2565,0.107609327,0.191011237
4,2,0.188744508,0.225241546,0.198044623,2135,925,0.307938035,0.221674877
9,4,0.253760206,0.262749446,0.185676393,1852,1188,0.307938035,0.326890756
7,6,0.179017013,0.160965483,0.144570707,615,525,0.107609327,0.136837144
11,3,0.213325183,0.194444444,0.191709845,1100,1142,0.107609327,0.09393202
11,4,0.137856629,0.18537415,0.181655481,1755,419,0.307938035,0.125181219
2,4,0.156283375,0.170843776,0.194444445,1645,1085,0.209605296,0.165983607
2,4,0.193371815,0.194444444,0.182578397,1655,648,0.307938035,0.123660193
5,3,0.193371815,0.134986226,0.172413793,1415,819,0.209605296,0.135802512
11,5,0.137856629,0.191876751,0.181655481,1307,764,0.209605296,0.123660193
10,1,0.137856629,0.206087824,0.181655481,900,184,0.107609327,0.142857143
1,3,0.253760206,0.173010381,0.231961045,700,550,0.107609327,0.197916853
10,6,0.193371815,0.16878865,0.181617647,1805,370,0.307938035,0.211640212
8,5,0.257645701,0.266666667,0.217485863,1430,1189,0.209605296,0.30612212
4,5,0.188744508,0.100238663,0.169817927,2140,2556,0.307938035,0.099989754
10,7,0.179017013,0.22991128,0.183679456,1250,557,0.209605296,0.233243968
7,7,0.164141953,0.198960499,0.194187583,1706,2092,0.307938035,0.188465175
5,2,0.188744508,0.21881582,0.199386503,1552,349,0.209605296,0.221264368
6,6,0.213267204,0.245125451,0.214473684,640,221,0.107609327,0.283252472
9,3,0.179017013,0.170843776,0.21474359,1830,1341,0.307938035,0.189230109
6,2,0.193371815,0.161234991,0.16384535,1730,874,0.307938035,0.144104804
5,2,0.193371815,0.100238663,0.169817927,1310,2556,0.209605296,0.080645169
10,3,0.213325183,0.151515152,0.301584728,800,735,0.107609327,0.129201289
11,4,0.193371815,0.18494152,0.202672606,1420,369,0.209605296,0.197228145
6,7,0.193371815,0.201082753,0.169817927,725,236,0.107609327,0.223931624
1,5,0.164141953,0.198960499,0.280818414,820,2139,0.107609327,0.188465175
4,6,0.188744508,0.21881582,0.219789132,1753,775,0.307938035,0.221264368
12,5,0.265797392,0.266666667,0.242339833,1028,1237,0.107609327,0.379087799
7,6,0.253760206,0.244406196,0.205048944,2041,759,0.307938035,0.261744966
1,1,0.179017013,0.158739963,0.161744023,800,584,0.107609327,0.118161926
6,7,0.164141953,0.158739963,0.16384535,958,1590,0.107609327,0.162127108
4,2,0.227520436,0.227874564,0.242339833,558,842,0.107609327,0.189655757
11,5,0.164141953,0.076333498,0.16384535,1735,302,0.307938035,0.13681504
7,1,0.253760206,0.235917136,0.231961045,1305,1047,0.209605296,0.20395798
5,2,0.164141953,0.229000884,0.16384535,948,406,0.107609327,0.203045685
1,2,0.156283375,0.171467764,0.199887704,1000,1113,0.107609327,0.159045028
5,5,0.227520436,0.166144201,0.211971026,2124,345,0.307938035,0.179101409
6,4,0.193371815,0.216216216,0.205731832,600,546,0.107609327,0.22022022
11,5,0.213267204,0.189175258,0.196825397,1219,313,0.209605296,0.222222222
4,2,0.164141953,0.160886868,0.207186974,1959,1008,0.307938035,0.145833333
3,5,0.179017013,0.21881582,0.19874989,1900,152,0.307938035,0.177362894
1,1,0.164141953,0.181372549,0.234,700,1010,0.107609327,0.169191491
2,4,0.253760206,0.26082578,0.205048944,1838,331,0.307938035,0.277970012
5,1,0.179017013,0.158739963,0.076333498,1715,188,0.307938035,0.118161926
2,4,0.213267204,0.26082578,0.14415019,1817,281,0.307938035,0.229299363
10,6,0.253760206,0.209064327,0.1875,1111,742,0.107609327,0.235955056
6,6,0.257645701,0.167164179,0.199887704,533,301,0.107609327,0.189844113
10,4,0.227520436,0.266666667,0.248186946,1917,1046,0.307938035,0.202864486
1,4,0.164141953,0.198960499,0.209251101,1955,356,0.307938035,0.188465175
5,6,0.193371815,0.132275132,0.211971026,1550,407,0.209605296,0.137130802
3,4,0.253760206,0.161234991,0.224489796,523,1143,0.107609327,0.195312561
9,4,0.253760206,0.262749446,0.221518987,1100,761,0.107609327,0.326890756
8,4,0.179017013,0.22991128,0.270797047,845,462,0.107609327,0.233243968
1,5,0.188744508,0.181372549,0.193975904,700,817,0.107609327,0.179095883
7,3,0.164141953,0.262749446,0.174674958,1031,852,0.107609327,0.142011853
6,7,0.188744508,0.169902913,0.193975904,605,802,0.107609327,0.169188904
1,2,0.193371815,0.169139466,0.178984862,720,1121,0.107609327,0.232258018
10,5,0.188744508,0.12601626,0.172413793,1332,836,0.209605296,0.153337453
12,1,0.164141953,0.206087824,0.174674958,740,1124,0.107609327,0.198879552
8,4,0.253760206,0.18494152,0.199887704,2216,2153,0.307938035,0.232858991
1,5,0.164141953,0.198960499,0.199870283,924,352,0.107609327,0.188465175
5,5,0.257645701,0.206087824,0.21021021,1257,395,0.209605296,0.262697023
4,5,0.200784094,0.209865859,0.231023102,1303,564,0.209605296,0.234210526
7,6,0.179017013,0.225241546,0.257142496,2136,542,0.307938035,0.216931216
2,4,0.193371815,0.216216216,0.211971026,1750,1067,0.107609327,0.22022022
6,7,0.188744508,0.209865859,0.207186974,1210,2402,0.209605296,0.162395362
10,3,0.179017013,0.21881582,0.229353561,1759,1048,0.307938035,0.177362894
