month,day_of_week,op_unique_carrier,origin,dest,crs_dep_time,distance
10,5,4,223,306,1830,1522.0
9,5,1,90,41,2059,631.0
9,3,2,43,291,1000,2496.0
12,7,4,246,20,1613,1587.0
11,7,2,291,70,1358,2016.0
12,3,13,306,299,1800,342.0
6,7,1,223,235,1736,334.0
2,5,4,302,125,1130,546.0
7,1,11,42,291,2059,399.0
1,2,11,124,42,1000,287.0
1,2,13,116,224,1850,674.0
4,6,9,90,200,1019,985.0
3,7,9,201,69,510,468.0
3,5,13,191,304,1215,387.0
6,3,11,235,326,903,585.0
11,4,5,245,200,1921,861.0
7,4,1,246,43,2145,2300.0
8,1,9,69,117,1152,632.0
1,4,4,20,41,1510,214.0
11,4,13,2,246,1600,328.0
11,6,11,103,180,1232,715.0
8,2,1,90,312,1534,550.0
10,5,1,86,235,1619,612.0
8,3,4,190,223,755,1020.0
3,4,11,208,291,1727,352.0
10,7,12,89,265,1130,300.0
11,2,12,89,180,1130,862.0
3,4,14,170,67,913,425.0
5,6,1,190,43,920,184.0
9,5,11,181,256,1930,346.0
9,6,2,105,291,800,234.0
3,5,11,302,232,1351,840.0
4,6,12,108,310,2000,1034.0
12,7,13,22,178,1400,1090.0
5,7,12,133,235,730,137.0
9,4,13,84,282,1045,247.0
10,7,3,170,180,1920,2475.0
9,4,9,179,299,836,386.0
4,2,10,27,86,1719,313.0
8,2,5,20,90,830,731.0
6,3,0,236,97,1305,529.0
4,6,4,223,63,1055,1087.0
7,3,4,201,86,1936,759.0
3,6,12,108,242,1450,1023.0
10,1,5,242,245,1010,951.0
10,1,12,89,189,1010,1620.0
6,4,13,213,41,530,475.0
5,6,13,20,147,1830,696.0
3,6,1,170,246,830,2153.0
8,7,4,20,41,2110,214.0
1,5,13,116,323,1900,197.0
5,1,4,20,214,1226,442.0
12,7,12,245,293,1824,2521.0
9,7,0,190,136,1438,610.0
1,2,8,22,90,1145,190.0
7,6,6,116,187,1306,865.0
12,3,6,310,260,901,1266.0
8,2,11,265,223,1622,489.0
1,3,0,97,290,1550,306.0
1,3,11,181,293,930,337.0
1,3,1,90,97,1830,986.0
7,1,4,86,20,900,547.0
10,7,12,179,109,709,2227.0
4,7,13,179,89,1155,628.0
3,2,13,323,213,610,1075.0
9,5,1,69,168,1135,328.0
5,4,4,20,200,1555,404.0
8,7,4,212,20,700,594.0
9,6,4,170,22,1820,1521.0
12,3,12,108,293,1630,2565.0
5,7,13,243,178,2050,763.0
6,2,11,89,144,1928,594.0
4,1,13,323,70,630,829.0
4,3,10,236,245,736,212.0
7,1,5,119,89,1440,483.0
1,2,4,97,134,855,120.0
12,1,9,70,189,1009,479.0
5,2,12,67,156,615,1091.0
8,4,14,135,189,549,610.0
6,3,6,244,21,900,1250.0
12,2,13,146,230,2000,100.0
6,4,1,246,235,1850,1440.0
3,1,11,157,205,1210,468.0
1,3,1,243,90,620,1616.0
11,1,2,170,261,1145,2378.0
1,6,13,200,84,1035,461.0
11,3,11,281,286,2059,263.0
4,6,1,282,69,625,1095.0
12,6,4,201,20,530,404.0
10,1,12,179,293,800,414.0
7,3,10,332,86,1704,437.0
12,1,3,170,180,905,2475.0
7,4,2,293,145,1138,2398.0
7,4,1,190,235,1800,733.0
11,1,8,90,77,1016,354.0
3,5,11,285,235,1310,84.0
9,1,13,86,147,1820,1218.0
8,4,14,43,86,1959,399.0
9,6,2,230,243,1317,2562.0
7,2,1,53,69,1848,546.0
8,5,13,224,55,610,998.0
4,2,8,64,235,745,196.0
1,1,13,229,246,850,646.0
7,1,13,271,41,1100,527.0
8,2,0,297,20,1856,551.0
8,4,0,80,169,1140,589.0
4,1,11,181,293,2118,337.0
9,1,12,157,109,1055,1400.0
6,7,13,179,306,1250,226.0
1,5,8,168,90,1411,408.0
10,1,2,229,291,600,672.0
4,5,13,229,281,910,446.0
4,7,11,243,291,915,129.0
12,1,13,204,168,1235,849.0
7,4,13,181,199,1840,1363.0
7,2,4,70,223,621,626.0
5,5,13,22,268,1520,1162.0
6,1,1,181,178,1945,236.0
3,1,14,235,43,1320,867.0
10,6,13,306,246,1400,338.0
9,2,8,235,223,1356,334.0
11,1,4,281,223,1159,1532.0
3,6,1,169,69,1800,328.0
4,4,1,90,281,1238,1171.0
2,3,4,116,20,1640,581.0
7,1,12,55,89,1005,1491.0
6,4,10,290,245,1555,576.0
11,6,9,179,2,1604,486.0
7,7,8,235,134,1505,137.0
5,6,12,43,89,730,1754.0
9,4,13,268,55,1525,255.0
7,3,13,312,279,840,979.0
3,1,0,190,161,1200,660.0
10,2,4,20,90,1731,731.0
8,6,12,89,340,1740,616.0
4,3,4,170,168,730,828.0
1,2,9,235,117,512,1182.0
6,4,4,20,187,1342,304.0
7,4,11,22,80,859,958.0
10,4,12,89,90,1758,641.0
12,7,11,97,67,1020,95.0
11,3,1,323,90,519,929.0
8,5,4,223,156,1045,1034.0
6,4,13,299,89,1410,948.0
6,2,13,306,246,1200,338.0
7,6,8,212,41,1450,806.0
7,7,8,90,326,1448,237.0
3,3,13,282,41,700,822.0
1,4,10,135,245,803,515.0
9,1,1,246,235,1215,1440.0
7,2,13,323,20,1100,406.0
10,7,4,201,20,1759,404.0
8,5,3,181,109,2055,2454.0
7,2,13,20,312,1255,484.0
9,2,13,299,281,900,417.0
9,7,13,54,178,1555,223.0
5,2,13,281,246,715,304.0
6,1,13,22,281,1400,1164.0
12,1,13,201,223,1125,1310.0
12,3,1,181,169,800,2475.0
8,6,13,299,306,705,342.0
1,2,1,133,90,1516,931.0
10,1,12,279,156,1354,861.0
1,1,11,304,180,600,373.0
6,5,1,69,337,1459,460.0
1,2,1,181,90,1344,1235.0
2,6,13,55,236,2040,159.0
4,1,1,69,90,927,936.0
8,5,13,304,281,1000,480.0
7,2,4,20,312,1405,484.0
9,1,4,231,20,805,761.0
6,2,13,148,323,605,781.0
8,7,8,90,227,1353,1048.0
3,7,13,148,178,1850,1235.0
8,3,4,206,20,1615,332.0
4,1,12,157,136,1805,837.0
11,6,3,170,293,1000,2586.0
6,2,4,90,43,1859,1562.0
12,5,8,90,321,1755,767.0
12,6,1,181,312,1750,1592.0
7,4,13,191,178,1515,231.0
10,5,13,175,145,1350,163.0
8,7,13,157,89,1140,862.0
6,2,6,40,292,849,917.0
5,5,4,20,213,2255,669.0
8,4,11,97,70,1415,155.0
2,7,7,192,145,1909,102.0
1,6,9,116,189,1607,1076.0
9,1,13,304,180,705,373.0
12,7,14,200,189,700,1107.0
8,4,13,304,178,1840,397.0
10,2,1,90,246,1635,868.0
11,7,4,157,189,1415,1416.0
8,1,13,41,213,2035,475.0
9,2,13,204,20,735,591.0
1,6,13,84,20,1355,721.0
12,7,12,281,235,1057,1723.0
5,3,4,181,268,1259,2239.0
6,1,7,230,145,1900,100.0
12,1,1,90,189,1923,1389.0
10,3,12,116,156,700,966.0
5,5,5,293,234,515,363.0
5,1,13,262,323,1230,1136.0
10,5,14,190,251,1057,335.0
8,1,1,231,69,1347,940.0
6,7,12,157,314,946,2070.0
3,2,4,20,97,2055,594.0
8,1,14,43,69,745,728.0
4,6,11,235,21,2020,160.0
5,2,0,165,169,1546,189.0
2,2,12,157,117,1827,966.0
1,1,1,20,235,615,606.0
4,3,12,201,156,1315,854.0
9,3,4,97,109,710,488.0
5,4,1,245,200,848,861.0
5,1,4,20,203,1705,591.0
7,6,1,323,246,1800,1788.0
12,7,14,190,245,610,96.0
12,1,6,340,292,1428,920.0
6,3,13,246,180,1220,370.0
8,4,2,291,299,622,696.0
7,6,4,20,199,1650,692.0
2,4,2,291,230,835,2640.0
1,3,13,55,212,2055,946.0
11,5,4,97,189,1416,502.0
9,1,11,89,158,810,458.0
5,4,12,201,109,1436,937.0
8,4,4,20,262,1510,903.0
5,3,13,229,246,1945,646.0
5,7,12,293,174,855,2367.0
1,7,4,181,178,1540,236.0
10,3,13,306,22,930,1209.0
10,7,11,261,243,1137,873.0
9,2,11,112,302,1235,501.0
7,7,4,116,20,1107,581.0
3,2,3,116,169,805,1069.0
3,4,13,103,22,1020,528.0
10,4,1,246,86,901,1979.0
1,7,12,283,89,1610,1414.0
11,5,9,190,117,1854,1076.0
2,5,4,193,20,545,453.0
9,1,13,146,230,1400,100.0
7,1,12,207,156,500,316.0
4,6,0,170,283,800,718.0
6,1,8,90,22,1255,190.0
2,2,12,90,293,1940,1464.0
6,5,12,89,304,1926,909.0
12,3,13,89,304,2050,909.0
12,5,1,245,242,1855,951.0
7,5,1,69,97,1300,500.0
8,1,1,251,235,1710,413.0
2,4,4,235,223,1015,334.0
10,3,13,181,203,1350,1750.0
12,7,8,90,16,1021,312.0
7,2,12,157,206,2024,316.0
1,2,13,323,53,930,1053.0
6,5,13,169,89,1205,1447.0
3,5,1,235,212,659,1197.0
2,1,13,89,2,2005,349.0
7,1,13,89,251,1525,1290.0
8,5,4,223,97,1245,528.0
11,4,13,2,199,1415,718.0
11,2,13,246,302,1555,507.0
7,1,1,97,90,1200,986.0
6,1,4,20,268,1015,356.0
5,1,8,90,231,1258,175.0
10,4,4,20,157,2050,782.0
2,1,13,246,55,1840,1999.0
6,1,11,331,90,1816,102.0
11,7,13,191,246,655,355.0
9,1,11,243,299,610,569.0
9,5,1,227,69,505,157.0
7,7,1,160,69,500,185.0
9,6,1,69,271,1600,257.0
2,7,13,204,246,1740,1444.0
6,5,4,281,97,2205,1956.0
1,5,11,204,223,1128,349.0
10,7,13,179,284,2155,289.0
4,2,7,230,145,1410,100.0
5,5,3,169,169,1211,828.0
8,3,13,271,203,750,629.0
5,5,5,20,67,2253,554.0
10,7,13,112,178,1755,259.0
7,3,1,179,69,1159,1916.0
10,7,3,116,301,1010,1046.0
1,1,14,245,43,1705,280.0
7,3,14,86,70,1659,323.0
12,5,1,246,235,943,1440.0
11,7,5,201,245,501,861.0
7,7,1,124,246,1512,1020.0
7,3,3,323,43,1925,1185.0
12,4,13,246,235,1835,1440.0
5,1,8,200,90,1047,460.0
1,5,4,212,20,1642,594.0
3,3,4,20,22,810,813.0
9,4,5,281,89,1405,853.0
1,3,0,96,97,620,533.0
3,4,12,242,109,702,1023.0
2,4,12,235,117,1355,1182.0
6,6,13,20,213,1530,669.0
12,1,12,55,89,1602,1491.0
3,5,12,108,224,645,1167.0
12,4,2,291,111,1200,1533.0
2,3,13,279,312,815,979.0
5,3,13,55,84,1420,1209.0
7,6,1,246,22,1235,872.0
7,2,4,86,20,659,547.0
5,5,12,89,20,1750,1199.0
